# Constructed from biom file
#OTU ID	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
422e034b250c03df9b51719073bdc855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	2383.0	0.0	32.0	0.0	0.0
b80f34cae2b6ec3083dd435ec21759d1	80.0	992.0	0.0	0.0	66.0	570.0	0.0	478.0	0.0	58.0	0.0	21.0	51.0	0.0
d7e74e54d203b35bc3ad29b6d8d5b324	0.0	404.0	0.0	0.0	1843.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0
6d14ec5cbbbf2e7d2441ab82b395a45b	0.0	0.0	0.0	1793.0	0.0	0.0	34.0	0.0	21.0	20.0	0.0	0.0	240.0	133.0
551429d1cde3eaa0dddd516eaa8d2f49	0.0	0.0	141.0	0.0	0.0	454.0	0.0	1029.0	0.0	0.0	83.0	0.0	487.0	4.0
efd3671ff34bae3867f6ece2287ecf0d	0.0	0.0	0.0	0.0	0.0	2162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
679779c908bf96ae6e989f7dd351ce67	90.0	0.0	276.0	0.0	0.0	943.0	0.0	273.0	24.0	12.0	298.0	9.0	180.0	41.0
7f8d82f9f9248d6fdfef51c99affbfa0	0.0	0.0	0.0	0.0	2029.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
f4d741f64aa573e9b431d361c53b2ef9	0.0	0.0	0.0	0.0	1786.0	58.0	0.0	0.0	0.0	0.0	0.0	18.0	149.0	0.0
4a7ce10b7caa660c0cd46f08c204c500	87.0	1545.0	0.0	0.0	0.0	293.0	0.0	0.0	0.0	0.0	0.0	0.0	72.0	0.0
9f1e227771c216e846ea2483afba2b10	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	45.0	1912.0	0.0	0.0	0.0	0.0
a1efdb6ebc2899fcf8e83dd12f8dbb42	0.0	0.0	0.0	124.0	0.0	0.0	1180.0	0.0	0.0	24.0	219.0	0.0	0.0	280.0
ec7a7b51479ec2bc9b07bc37df6c897a	98.0	1081.0	0.0	0.0	246.0	159.0	0.0	0.0	0.0	198.0	0.0	33.0	0.0	0.0
e6131b3d3b026f11c03460ef11f1a4cb	0.0	226.0	0.0	0.0	1123.0	96.0	0.0	0.0	0.0	293.0	0.0	8.0	0.0	0.0
23da467784a8d5f6cb829124c7cd9d3a	0.0	0.0	0.0	279.0	0.0	0.0	608.0	0.0	118.0	275.0	108.0	0.0	0.0	235.0
13f1f125ab460725a4e5cc0989108717	94.0	0.0	128.0	0.0	1037.0	333.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0
fba41f48cea77b0fe3dbc470b0ab9322	0.0	0.0	35.0	0.0	1571.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
25af2624e570d998ebb1439d18c14d71	36.0	0.0	374.0	0.0	0.0	585.0	0.0	292.0	0.0	26.0	51.0	3.0	142.0	83.0
9c60604bd06c4f1307a4dc1b3f1bcd2f	0.0	241.0	0.0	0.0	1333.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7741fa4c281481ee8ddf57e8014dfc9e	61.0	723.0	50.0	0.0	39.0	554.0	0.0	0.0	0.0	0.0	0.0	0.0	117.0	17.0
0910755582ca8a11e3b997e2cb26a242	24.0	107.0	0.0	0.0	1282.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	77.0	0.0
b2cf4afb52128bc3e3b429f9821942f0	0.0	733.0	0.0	0.0	33.0	20.0	0.0	604.0	15.0	0.0	0.0	0.0	96.0	0.0
58729cc8ee96b5f3247d9283323ef896	0.0	0.0	0.0	0.0	1335.0	0.0	0.0	0.0	0.0	0.0	0.0	155.0	0.0	0.0
9a2f2c8fee2ecda99c421350af3c8049	0.0	4.0	1163.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0	130.0	0.0	0.0	133.0
65e05f900ea082b3bfdbd4e13626d99f	0.0	0.0	0.0	1332.0	0.0	0.0	64.0	0.0	14.0	0.0	0.0	0.0	0.0	32.0
2e60ca4320d51b80ed8e56187ffb64ed	0.0	0.0	0.0	0.0	2.0	87.0	0.0	764.0	0.0	0.0	154.0	0.0	383.0	40.0
4e913822e07263b14077d52da2fe8e06	44.0	0.0	0.0	0.0	998.0	347.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
7a4ecce05dbaa508120455dc2db3ab1f	50.0	0.0	0.0	0.0	1316.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	8.0	0.0
efe8383c0aefa10a173dd7a61dd9981d	0.0	0.0	0.0	228.0	0.0	0.0	885.0	0.0	0.0	0.0	191.0	0.0	0.0	68.0
61733de29a18ba1b14e9a2467ca2a425	0.0	0.0	0.0	0.0	1066.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
b24693186d4fe7e6268569d285314933	53.0	148.0	0.0	0.0	966.0	65.0	0.0	0.0	0.0	0.0	0.0	36.0	31.0	0.0
9bc7ef2533de2f542465b7601e11d88c	49.0	0.0	98.0	0.0	0.0	0.0	0.0	997.0	0.0	0.0	0.0	0.0	99.0	46.0
4f4e62019984b3bd4af81570800e6926	57.0	0.0	0.0	0.0	0.0	738.0	0.0	351.0	0.0	8.0	0.0	0.0	129.0	0.0
036008dd29961741dcc3dda052983b7b	45.0	919.0	0.0	0.0	52.0	34.0	0.0	99.0	0.0	0.0	0.0	24.0	91.0	0.0
