Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
f5b792203f33d7e84c6a5003a0025f18	Bacteria	Bacteroidota	UBA10030	UBA10030	UBA8401	SXSI01	SXSI01 sp005792285	0	0	0	85	0	0	0	0	0	0	0	0	0	0
a40356c6da0a743d363304634f0ecf1e	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Xanthobacteraceae	Unassigned	Unassigned	0	0	0	85	0	0	0	0	0	0	0	0	0	0
30cad81f15ed13b299ec33a9d0bbdaae	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Devosiaceae	Devosia_A_502124	Unassigned	0	0	0	0	85	0	0	0	0	0	0	0	0	0
6be97d120ba592c57a44752d5a0bf80e	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	85	0	0	0	0	0	0	0	0
0a8d625bddba0645ce74a059748127d4	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	85	0	0	0	0	0	0	0	0
d762d35ce6154e25fa1ae5751d45901a	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Bog-375	Unassigned	0	0	0	0	0	0	85	0	0	0	0	0	0	0
2500aea931c9368a8ea81c00e6a23e5e	Bacteria	Actinomycetota	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	85	0	0	0	0	0	0	0
f653e3eaba6abaa1f5ca238c999d4281	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Edaphobacter_415416	Unassigned	0	0	0	0	0	0	0	0	0	85	0	0	0	0
43579d637bf29b1571ce1e341b4e068d	Bacteria	Eremiobacterota	Eremiobacteria	Baltobacterales	Baltobacteraceae	Elarobacter	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	85	0
bab7df659055c50e9dd3b0351b9bb782	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	84	0	0	0	0	0	0	0	0	0	0	0
c79d23e930116b66cdbd2f5e6e50bb1e	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	0	84	0	0	0	0	0	0	0	0	0	0	0
40cefd1dc61975bdd1c3bc6b7694655d	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	84	0	0	0	0	0	0	0	0	0	0	0
1d2da9e1d19994160bb41f2c07821bc9	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Unassigned	Unassigned	Unassigned	0	0	0	84	0	0	0	0	0	0	0	0	0	0
424dc23662163ed10141c289d402f3b8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Labraceae	Labrys	Unassigned	0	0	0	0	84	0	0	0	0	0	0	0	0	0
2d329a297c9e704e9b426ec442fd0b86	Bacteria	Cyanobacteriota	Chloroplast	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	84	0	0	0	0	0	0	0	0
107d8011a8f961856ecd8c1c8ffc691d	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Bog-375	Unassigned	0	0	0	0	0	0	84	0	0	0	0	0	0	0
0e2d1331adbdaf2564b0f6ad85007308	Bacteria	Bacillota_A_368345	Clostridia_258483	Lachnospirales	Lachnospiraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	84
d098c7dfdcf5eace62122482626dd335	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	83	0	0	0	0	0	0	0	0	0	0	0	0
b47e5ef3fdf47b62203b7150048cca37	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	83	0	0	0	0	0	0	0	0	0	0	0
3fbf0e0a3ec64ccca8adb2883a1db7a3	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	83	0	0	0	0	0	0	0	0	0	0	0
914c3c7a8aa15b829f5fbfaa12fb8d39	Bacteria	Actinomycetota	Acidimicrobiia_401430	IMCC26256	Unassigned	Unassigned	Unassigned	0	0	0	83	0	0	0	0	0	0	0	0	0	0
78d36a10ef5980bb304c8e56278fa457	Bacteria	Patescibacteria	UBA1384	2-12-FULL-50-11	2-12-FULL-50-11	2-12-FULL-50-11	Unassigned	0	0	0	83	0	0	0	0	0	0	0	0	0	0
da16f2a0f0587d1b0b5ad1c3f27af616	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	83	0	0	0	0	0	0	0
87ff09d2970d2b03bfef95d77deb7176	Bacteria	Chloroflexota	Anaerolineae	Anaerolineales	UBA11657	Unassigned	Unassigned	0	0	0	0	0	0	83	0	0	0	0	0	0	0
106fd11eeb33a9d675126f726573da56	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA2103	C7867-001	C7867-001 sp001781625	0	0	0	0	0	0	0	0	0	0	83	0	0	0
99e8c8c306cd0986d671217e885260e6	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_A_595421	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	83	0	0	0
aa55ed6db31420cd6e25ac3a9c9faafa	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella_C_415415	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	83	0
bab576aff8f9199e2d09e2967b1a8a2c	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	83	0
9e4dc6bf1825f38cceca3308c652a066	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	83	0
dea1bf817b3e872cc84da1acd456951a	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Xanthobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	83	0
ac1729f7537be50a1c1440db7372cfed	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	0	0	82	0	0	0	0	0	0	0	0	0	0
5c6906373e16fcaa9f909708bd73f8f4	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Micropepsaceae	Micropepsis	Micropepsis pineolensis	0	0	0	82	0	0	0	0	0	0	0	0	0	0
f743ea421804fc114cfa35607cfd52c3	Bacteria	Acidobacteriota	Terriglobia	Acidoferrales	UBA7541	Unassigned	Unassigned	0	0	0	82	0	0	0	0	0	0	0	0	0	0
c31a5590218a325bf1d28bf3ec4abf24	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA10212	21-14-0-10-47-8-A	Unassigned	0	0	0	82	0	0	0	0	0	0	0	0	0	0
bc7450cca7c1be48d4ad5587166fd3af	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Rhizobiaceae	Ensifer_A_499891	Ensifer_A_499891 adhaerens	0	0	0	0	82	0	0	0	0	0	0	0	0	0
d35b3b8a7f1e49b251e9118a85211254	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides_A_392796	Nocardioides_A_392796 sp000364605	0	0	0	0	0	82	0	0	0	0	0	0	0	0
b85afede0721f061b6801ab0e372adf9	Bacteria	Actinomycetota	Acidimicrobiia_401430	Acidimicrobiales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	82	0	0	0	0	0	0	0
9a28771e7515460c871406d3c6cecc61	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	82	0	0	0	0	0	0
0078d91cdcb8ba026478309a54e6c5f1	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	82	0	0	0	0
8bb7aaa927729248d502e71ec9acd839	Bacteria	Armatimonadota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	82	0	0
9468e9047065c6d2b88bd4e2fcd09d1a	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	82	0
877b1e066893b9d077c6fa1df8451f85	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	82	0
ebe85407ca9ba838b49ea7eeaa83fb19	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia nasimurium	0	0	0	0	0	0	0	0	0	0	0	0	82	0
a99d70bf77dc61f7a61ec6f5a5fc9f85	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	81	0	0	0	0	0	0	0	0	0	0	0
398cfbc2e1ef19e30a92ed4b10ddd588	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	81	0	0	0	0	0	0	0	0	0	0	0
221174f657b7e8954e5a3d5f82ea67ff	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	81	0	0	0	0	0	0	0	0	0	0	0
bb3b118485c48b773b92d890c516466a	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidocella	Unassigned	0	0	0	81	0	0	0	0	0	0	0	0	0	0
b81ee8a12b4b420939cd78c078f0d962	Bacteria	Patescibacteria	Paceibacteria	UBA6257	2-01-FULL-56-20	SURF-56	Unassigned	0	0	0	81	0	0	0	0	0	0	0	0	0	0
75f982d1555d591444f30ce23aeddd0a	Bacteria	Pseudomonadota	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	81	0	0	0	0	0	0	0	0	0	0
2027532dc89a198b25d0fa57c46586ae	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Sphingomonas_I	Sphingomonas_I crusticola	0	0	0	0	81	0	0	0	0	0	0	0	0	0
4e6fe452076f50f3614f30498941dfaf	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Unassigned	Unassigned	0	0	0	0	0	81	0	0	0	0	0	0	0	0
a4460bf39f9653cac51ed40ba9cc1713	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	81	0	0	0	0	0	0	0	0
0fa766f417dfbf17f4374dbefe4c374f	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides_A_392796	Unassigned	0	0	0	0	0	0	0	0	0	0	0	81	0	0
08f4a8fb2f3519301a498e6ac79a41ed	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	81	0
39ef99ddd6e1013ea1dd7dedbf120980	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	81	0
b0e758c7a71031c8acba3f77464024c6	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	80	0	0	0	0	0	0	0	0	0	0	0	0
506e1af16d7e0b992ef890f82d20c174	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Friedmanniella	Unassigned	0	80	0	0	0	0	0	0	0	0	0	0	0	0
5af26f6f107cb98dae54989bb699555e	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Unassigned	Unassigned	0	80	0	0	0	0	0	0	0	0	0	0	0	0
34ae75cd43148d0adc8651beacff6090	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	80	0	0	0	0	0	0	0	0	0	0	0
896037234cb8d98b99a3cc20a432a2bb	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Unassigned	Unassigned	0	0	0	0	80	0	0	0	0	0	0	0	0	0
09e80fcfc0b269d2a27403a5ae0f54f8	Bacteria	Actinomycetota	Acidimicrobiia_401430	Acidimicrobiales	Acidimicrobiaceae_401171	Acidiferrimicrobium	Unassigned	0	0	0	0	0	0	0	0	0	80	0	0	0	0
d13f8be7770185fdbe46d657d929db14	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nakamurellaceae	Nakamurella	Unassigned	0	0	0	0	0	0	0	0	0	0	0	80	0	0
0754ad67d832e8d378614fa162126fe6	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Rhizobiaceae	Rhizobium_C_501058	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	80	0
5d699d2827be86f0127de9d9c6f12d66	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria_563205	Unassigned	79	0	0	0	0	0	0	0	0	0	0	0	0	0
412b36f6aef236919004ae3490bacb7d	Bacteria	Cyanobacteriota	Chloroplast	Unassigned	Unassigned	Unassigned	Unassigned	79	0	0	0	0	0	0	0	0	0	0	0	0	0
5d3e9eb98d0a167f021f2b3f9659fba9	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	79	0	0	0	0	0	0	0	0	0	0	0	0
45babbd9deeb656e078c5e23e2447162	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	79	0	0	0	0	0	0	0	0
93b99fb6466e3cd3ed95c23e17c7b8eb	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Granulicella_C_415415	Granulicella_C_415415 sapmiensis	0	0	0	0	0	79	0	0	0	0	0	0	0	0
462405462d1a5b4b8d6b2032d470d440	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	GWC2-71-9	Unassigned	Unassigned	0	0	0	0	0	0	79	0	0	0	0	0	0	0
322a38fe6ecf9f5b7423a5c4f27377c5	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Koribacteraceae	Bog-257	Unassigned	0	0	0	0	0	0	79	0	0	0	0	0	0	0
884b8c45d4738b0bf1283a4571688555	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	79	0
faee4a8087cda89aa5f7dc51d75f2721	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	79	0
2990363dc84f46803a191dbfb0c26854	Bacteria	Pseudomonadota	Alphaproteobacteria	Azospirillales_507929	Unassigned	Unassigned	Unassigned	0	0	0	78	0	0	0	0	0	0	0	0	0	0
c762ec3ddc9ec1848350eec6fc000a3d	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Unassigned	Unassigned	0	0	0	0	78	0	0	0	0	0	0	0	0	0
fc331fc361ea9d6f606420b7fb0a4bec	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Microbacteriaceae	Unassigned	Unassigned	0	0	0	0	0	78	0	0	0	0	0	0	0	0
017e2531db1cd8a4bc8cceff677d77f8	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	78	0	0	0	0	0	0	0	0
09a90dfad8567065bc59af4efc71fb31	Bacteria	Chloroflexota	Limnocylindria	Limnocylindrales	CSP1-4	GWC2-73-18	Unassigned	0	0	0	0	0	0	78	0	0	0	0	0	0	0
01707411dcf99b062a48eefaa0d236f9	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	EB88	EB88 sp003858395	0	0	0	0	0	0	0	0	0	78	0	0	0	0
52330ec9e75cd523cec00f5ccd2e3ea9	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	78	0	0	0
d8fb910a2fd2b79c6505bb9c84b6e0ac	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	78	0
19e1502d59cec6b01bb02b96a5378420	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	0	0	0	0	0	0	0	0	0	0	78	0
e6987c53750e52b27bf42c432887d242	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	78	0
44dedf630ae8270a6543e71dae435c1b	Bacteria	Actinomycetota	Acidimicrobiia_401430	Acidimicrobiales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	78
453707b54a372100aa88518aeea0cee2	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	78
ca898626bd5ee0eb8b2f7c461fbe3c81	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Micromonosporaceae	Unassigned	Unassigned	0	77	0	0	0	0	0	0	0	0	0	0	0	0
f0fe78bbef7ce34de33a475014abcaa7	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	77	0	0	0	0	0	0	0	0	0	0	0
6eb9eb218e704a3bcf01ff3a3a7adb5a	Bacteria	Pseudomonadota	Alphaproteobacteria	Micropepsales	Unassigned	Unassigned	Unassigned	0	0	0	77	0	0	0	0	0	0	0	0	0	0
8e02f9f644f8bb2f1e29429e2aabb96d	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Unassigned	Unassigned	0	0	0	0	0	77	0	0	0	0	0	0	0	0
a45cb4a8714bff9ab839a63296af1b63	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	0	0	0	0	0	77	0	0	0	0	0	0	0
b3eac88b10de94a26e75c558e1d17643	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	UBA5150	UBA5150 sp002792275	0	0	0	0	0	0	77	0	0	0	0	0	0	0
efdded03e76772ef92cfbc9273e17634	Bacteria	Actinomycetota	Acidimicrobiia_401430	Acidimicrobiales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	77	0	0	0	0	0	0	0
1473d28c6393c46338e9cb55b6eb97f1	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	77	0	0	0	0	0	0
7d19faa85397df6c2ea4607e0f1e2992	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	77	0	0	0	0
64dba10fee984cd30db4be08e4946827	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	77	0	0	0
d0d00655e08da3a0309987f5defdde21	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	77	0	0	0
0f665a221a91b6e91b9e4e2ef24ee499	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	77	0
d72cfc9bc9f48da732b5da1fc729c4c8	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Xanthobacteraceae	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	0	77
bcacce05cafcf6876198eb89576eab45	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	76	0	0	0	0	0	0	0	0	0	0	0
e526c209db0015af3076823839ab5619	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Unassigned	Unassigned	0	0	0	76	0	0	0	0	0	0	0	0	0	0
4f8565de64b18cff1cf5bf4dd1d8d209	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Unassigned	Unassigned	0	0	0	76	0	0	0	0	0	0	0	0	0	0
b338626330da342d6c05294fd330c3b5	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Dermatophilaceae	Unassigned	Unassigned	0	0	0	0	76	0	0	0	0	0	0	0	0	0
8ae4a4b072644e75745f2cc9e7c0e0dc	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	76	0	0	0	0	0	0	0	0
e7cd736192b41aa896df302ca11bf545	Bacteria	Acidobacteriota	Terriglobia	Acidoferrales	UBA7541	Palsa-295	Unassigned	0	0	0	75	0	0	0	0	0	0	0	0	0	0
956af5f3605fa4349c32481479f97e00	Bacteria	Pseudomonadota	Alphaproteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	75	0	0	0	0	0	0	0	0	0	0
c42dfdb94292280bf1b7c0a93b403d36	Bacteria	Cyanobacteriota	Chloroplast	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	75	0	0	0
7d1dc6edcc98e8788eb9e2262c6c5e3e	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	75	0	0	0
877f292282f11f73c370d188f81ec0df	Bacteria	Chloroflexota	Dehalococcoidia	Dehalococcoidales	UBA1222	SURF-27	SURF-27 sp003597995	0	0	0	0	0	0	0	0	0	0	75	0	0	0
cebb1c9c0e1e11eefcb7d510c921a26c	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	75	0
0fe8b7ec6c1fbec21d8e7bd3436fb92d	Bacteria	Actinomycetota	Actinomycetes	Mycobacteriales	Nakamurellaceae	Nakamurella	Nakamurella endophytica	0	0	0	0	0	0	0	0	0	0	0	0	0	75
9f0d5b13f5a428a3e53f58c9c0016c40	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales_505101	Xanthobacteraceae	Unassigned	Unassigned	74	0	0	0	0	0	0	0	0	0	0	0	0	0
4f6133d5773779ebec6b2e41a5aebd25	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	3	0	0	0	0	0	0	0	0	0	0	0	71	0
1d062086cab5beb75527260f0b35e6cc	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	74	0	0	0	0	0	0	0	0	0	0	0
1f1ae2b21309e1b291f65a8f48ab7199	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	74	0	0	0	0	0	0	0	0	0	0	0
194ca7704a0006884fbaa40d088bb4e1	Bacteria	Planctomycetota	Planctomycetia	Gemmatales	Gemmataceae	Unassigned	Unassigned	0	0	0	74	0	0	0	0	0	0	0	0	0	0
4f1da2a3d3173c54269a88150a7c611d	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Unassigned	Unassigned	0	0	0	74	0	0	0	0	0	0	0	0	0	0
b038914846763fd6b0a5626a5061ea60	Bacteria	Actinomycetota	Acidimicrobiia_401430	Acidimicrobiales	Unassigned	Unassigned	Unassigned	0	0	0	74	0	0	0	0	0	0	0	0	0	0
7e99460389e819226c7935330b40c651	Bacteria	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidisoma	Unassigned	0	0	0	0	0	74	0	0	0	0	0	0	0	0
2f43ffd8a4fe09257dccc72e21a4b303	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA4665	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	74	0	0	0
caa42e43e98130fa9588c60f3590ff53	Bacteria	Armatimonadota	Abditibacteriia	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Abditibacterium utsteinense	0	0	0	0	0	0	0	0	0	0	0	74	0	0
3bf8cf1f920121ad5703586fb7f52c78	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	74	0
3073ba6260334c9f69c15439ba0da7bb	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Acidipila	Unassigned	0	73	0	0	0	0	0	0	0	0	0	0	0	0
a880b03a522da9d0e1b3a0485d23ad24	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	73	0	0	0	0	0	0	0	0	0	0	0
5ed5876aa0a1ccb85b0806b9fc8658b8	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	UBA10212	21-14-0-10-47-8-A	Unassigned	0	0	0	73	0	0	0	0	0	0	0	0	0	0
bff5d5c91fe72bcd0febc589d7293e46	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA2103	C7867-001	C7867-001 sp900299275	0	0	0	73	0	0	0	0	0	0	0	0	0	0
26f0c2dcf50532bdfa4b085c76716f54	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA2103	1-14-0-10-45-20	Unassigned	0	0	0	73	0	0	0	0	0	0	0	0	0	0
9214ace1b4285731f98d0ef3fab27d54	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Unassigned	Unassigned	0	0	0	73	0	0	0	0	0	0	0	0	0	0
29350bd8cb42a04b1fa7faf7a754103d	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Bog-375	Unassigned	0	0	0	73	0	0	0	0	0	0	0	0	0	0
a31e82e25080f38fded651839338e2e1	Bacteria	Chloroflexota	Dehalococcoidia	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	73	0	0	0	0	0	0	0
d5a9797052611e325ff6c905650e34ec	Bacteria	Actinomycetota	Actinomycetes	Streptosporangiales	Streptosporangiaceae	Trebonia	Trebonia kvetii	0	0	0	0	0	0	73	0	0	0	0	0	0	0
39927092f4c5ba1d811cb1f36f9cc8bb	Bacteria	Bacteroidota	UBA10030	UBA10030	UBA6906	CAADGV01	Unassigned	0	0	0	0	0	0	73	0	0	0	0	0	0	0
8776a0509bf46364f50690cfd6b1e58c	Bacteria	Patescibacteria	ABY1	UBA1558	GWA2-36-10	UM-FILTER-36-13	UM-FILTER-36-13 sp002787405	0	0	0	0	0	0	73	0	0	0	0	0	0	0
c211e6cc1f212d7754257cba825ab732	Bacteria	Acidobacteriota	Terriglobia	Bryobacterales	Bryobacteraceae	Palsa-187	Unassigned	0	0	0	0	0	0	0	0	0	73	0	0	0	0
a9100baa1d770a39f5f3d7e5c3fbb077	Bacteria	Patescibacteria	Paceibacteria	UBA9973	UBA2103	C7867-001	C7867-001 sp002429325	0	0	0	0	0	0	0	0	0	0	73	0	0	0
be46b53ebfa74fdeb011de7bfcd545eb	Bacteria	Pseudomonadota	Gammaproteobacteria	Thiotrichales_608018	Thiotrichaceae_608018	Thiofilum	Unassigned	0	0	0	0	0	0	0	0	0	0	0	0	73	0
