Domain	Phylum	Class	Order	Family	Genus	Species	A1	A16	A16B	A16S	A19	A19B	A19S	A2	B10	B10B	B10S	B6	B6B	B6S
377c64fc3dc94b80ddda5330b02d7bfb	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	317	0	0	0	0	549	0	0	0	0	0	0
36364cda1a7b6389d06555a8661da697	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	Neisseria_563205	Unassigned	0	0	0	0	0	0	0	857	0	0	0	0	0	0
dae16d8d88a19739db727823d6294858	Bacteria	Acidobacteriota	Terriglobia	Terriglobales	Acidobacteriaceae	Unassigned	Unassigned	35	214	0	0	55	292	0	0	0	159	53	18	0	0
5aab0eb6ec41a33bd894c90d0216a16f	Bacteria	Actinomycetota	Actinomycetes	Propionibacteriales	Nocardioidaceae	Nocardioides_A_392796	Nocardioides_A_392796 sp000364605	27	0	0	0	780	0	0	0	0	0	0	17	0	0
a035d4d6eaf8f2922866d1e91931f583	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	JC017	JC017 sp004296775	0	0	774	0	0	0	0	0	0	0	0	0	0	0
6a588d63da83aa8bf2e4e13fbb427baa	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae_486827	Sphingomonas_L_486704	Unassigned	0	0	0	0	716	0	0	0	0	0	0	0	0	0
e4973ae2fd70d96b2ed62ec9620f78b3	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	686	0	0	0	0	0	0	0	0
ee32bb4023b4149659fe046149daf5f9	Bacteria	Chloroflexota	Dehalococcoidia	Unassigned	Unassigned	Unassigned	Unassigned	0	0	0	0	0	0	0	684	0	0	0	0	0	0
ecfe9eb75bf3cd8aa8df934d9e2e3704	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia mucilaginosa	0	0	0	0	0	0	0	672	0	0	0	0	0	0
bef958c90484c370c515ca1afa25c6a4	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	0	0	667	0	0	0	0	0	0	0	0	0	0	0
